trade_date,ts_code,close,pct_change,vol
2020-01-21,881169.TI,1693.0433,0.0,3641671.39
2020-01-22,881169.TI,1625.4732,0.0,3611111.78
2020-01-23,881169.TI,1583.5535,0.0,4320259.38
2020-02-26,881169.TI,1732.1803,0.0,7274753.72
2020-02-27,881169.TI,1749.4509,0.0,5773001.91
2020-02-28,881169.TI,1640.0379,0.0,7255452.58
2020-03-27,881169.TI,1624.3714,0.0,5644566.33
2020-03-30,881169.TI,1553.3285,0.0,4891232.99
2020-03-31,881169.TI,1536.282,0.0,3417026.21
2020-04-28,881169.TI,1467.6897,0.0,3681983.88
2020-04-29,881169.TI,1469.2231,0.0,2048673.06
2020-04-30,881169.TI,1476.6704,0.0,2794423.21
2020-05-27,881169.TI,1492.0098,0.0,3175583.94
2020-05-28,881169.TI,1521.2497,0.0,3858309.43
2020-05-29,881169.TI,1526.4386,0.0,2797185.05
2020-06-24,881169.TI,1545.4637,0.0,3522184.78
2020-06-29,881169.TI,1541.3422,0.0,3193344.97
2020-06-30,881169.TI,1542.7894,0.0,2683221.03
2020-07-29,881169.TI,1939.5876,0.0,8268784.82
2020-07-30,881169.TI,1893.8216,0.0,7708134.29
2020-07-31,881169.TI,1970.0676,0.0,8874447.48
2020-08-27,881169.TI,1899.6145,0.0,2826875.1
2020-08-28,881169.TI,1914.6737,0.0,3851985.56
2020-08-31,881169.TI,1927.5462,0.0,4900418.87
2020-09-28,881169.TI,1730.5813,0.0,2528304.84
2020-09-29,881169.TI,1741.5087,0.0,2295531.54
2020-09-30,881169.TI,1738.776,0.0,1804587.59
2020-10-28,881169.TI,1773.832,0.0,1863707.0
2020-10-29,881169.TI,1744.146,0.0,2183480.67
2020-10-30,881169.TI,1705.9459,0.0,2185515.65
2020-11-26,881169.TI,1720.977,0.0,2414334.17
2020-11-27,881169.TI,1718.0535,0.0,2278726.84
2020-11-30,881169.TI,1706.5473,0.0,3748394.35
2020-12-29,881169.TI,1566.7741,0.0,2308846.8
2020-12-30,881169.TI,1579.7877,0.0,2021939.24
2020-12-31,881169.TI,1588.1682,0.0,2493957.57
2021-01-27,881169.TI,1411.9367,0.0,2425179.34
2021-01-28,881169.TI,1405.4381,0.0,2085822.51
2021-01-29,881169.TI,1400.5667,0.0,2661913.99
2021-02-24,881169.TI,1523.0089,0.0,7549344.67
2021-02-25,881169.TI,1516.0876,0.0,5538177.92
2021-02-26,881169.TI,1482.978,0.0,4708071.05
2021-03-29,881169.TI,1408.948,0.0,1621475.67
2021-03-30,881169.TI,1407.7529,0.0,1959694.48
2021-03-31,881169.TI,1392.8322,0.0,1579548.32
2021-04-28,881169.TI,1397.8041,0.0,1992604.2
2021-04-29,881169.TI,1410.6904,0.0,2019542.64
2021-04-30,881169.TI,1376.9697,0.0,2396171.42
2021-05-27,881169.TI,1496.2298,0.0,3568622.76
2021-05-28,881169.TI,1479.0257,0.0,2856604.27
2021-05-31,881169.TI,1494.4828,0.0,2889432.18
2021-06-28,881169.TI,1510.0381,0.0,2152955.64
2021-06-29,881169.TI,1506.3692,0.0,1951960.41
2021-06-30,881169.TI,1500.4675,0.0,2729574.39
2021-07-28,881169.TI,1483.435,0.0,4190122.04
2021-07-29,881169.TI,1523.9283,0.0,3443180.74
2021-07-30,881169.TI,1526.3339,0.0,3116737.05
2021-08-27,881169.TI,1732.7403,0.0,5026705.51
2021-08-30,881169.TI,1732.0467,0.0,5393099.69
2021-08-31,881169.TI,1739.1406,0.0,6597845.47
2021-09-28,881169.TI,1632.612,0.0,1963435.2
2021-09-29,881169.TI,1647.61,0.0,3163075.8
2021-09-30,881169.TI,1645.586,0.0,1984466.4
2021-10-28,881169.TI,1627.286,0.0,1996537.7
2021-10-29,881169.TI,1638.074,0.0,1613380.9
2021-11-26,881169.TI,1670.145,0.0,1913216.1
2021-11-29,881169.TI,1636.353,0.0,2099297.4
2021-11-30,881169.TI,1645.233,0.0,1859257.5
2021-12-30,881169.TI,1598.969,0.0,1245305.76
2021-12-31,881169.TI,1608.659,0.0,1471286.3
2022-01-27,881169.TI,1546.141,0.0,4575188.5
2022-01-28,881169.TI,1554.854,0.0,2836316.8
2022-02-25,881169.TI,1794.12,0.0,9297236.5
2022-02-28,881169.TI,1812.242,0.0,7178234.2
2022-03-30,881169.TI,1656.665,0.0,2732771.2
2022-03-31,881169.TI,1632.885,0.0,2135897.6
2022-04-28,881169.TI,1356.052,0.0,2712463.3
2022-04-29,881169.TI,1441.435,0.0,3083813.4
2022-05-30,881169.TI,1507.358,0.0,2252601.1
2022-05-31,881169.TI,1503.024,0.0,2365550.4
2022-06-29,881169.TI,1588.322,0.0,3014807.4
2022-06-30,881169.TI,1586.284,0.0,2583623.4
2022-07-28,881169.TI,1674.799,0.0,4004006.6
2022-07-29,881169.TI,1687.183,0.0,3478916.8
2022-08-30,881169.TI,1664.961,0.0,1794489.0
2022-08-31,881169.TI,1627.979,0.0,2028328.1
2022-09-29,881169.TI,1611.853,0.0,3722200.7
2022-09-30,881169.TI,1615.891,0.0,1942325.9
2022-10-28,881169.TI,1658.758,0.0,4053744.2
2022-10-31,881169.TI,1635.997,0.0,3442018.0
2022-11-29,881169.TI,1831.055,0.0,4019523.1
2022-11-30,881169.TI,1806.923,0.0,3476024.7
2022-12-29,881169.TI,1613.233,0.0,1643774.4
2022-12-30,881169.TI,1624.547,0.0,2161064.3
2023-01-30,881169.TI,1773.802,0.0,4015504.5
2023-01-31,881169.TI,1777.139,0.0,3045608.1
2023-02-27,881169.TI,1692.228,0.0,1743426.8
2023-02-28,881169.TI,1689.472,0.0,1499375.8
2023-03-30,881169.TI,1975.586,0.0,3180247.2
2023-03-31,881169.TI,2022.151,0.0,5710543.8
2023-04-27,881169.TI,2093.933,0.0,3829524.3
2023-04-28,881169.TI,2109.35,0.0,3737942.4
2023-05-31,881169.TI,2002.546,0.0,3147295.1
2023-06-29,881169.TI,1833.181,0.0,1596830.2
2023-06-30,881169.TI,1851.052,0.0,1723029.4
2023-07-28,881169.TI,1988.054,0.0,3218292.0
2023-07-31,881169.TI,1991.318,0.0,2827169.6
2023-08-30,881169.TI,2056.549,0.0,3775365.2
2023-08-31,881169.TI,2052.644,0.0,4149843.5
2023-09-28,881169.TI,1992.225,0.0,1812967.1
2023-10-31,881169.TI,1974.929,0.0,2162144.7
2023-11-29,881169.TI,1973.924,0.0,4491755.6
2023-11-30,881169.TI,1959.38,0.0,2385467.4
2023-12-28,881169.TI,1895.242,0.0,2448818.5
2023-12-29,881169.TI,1892.118,0.0,1887987.0
2024-01-30,881169.TI,1684.008,0.0,1916391.5
2024-01-31,881169.TI,1627.995,0.0,1967360.3
2024-02-28,881169.TI,1671.881,0.0,2700040.8
2024-02-29,881169.TI,1713.53,0.0,2104152.3
2024-03-28,881169.TI,1976.499,0.0,3521927.3
2024-03-29,881169.TI,2093.927,0.0,7027781.6
2024-04-29,881169.TI,2315.432,0.0,6708199.5
2024-04-30,881169.TI,2267.829,0.0,4362904.6
2024-05-30,881169.TI,2241.016,0.0,6001163.6
2024-05-31,881169.TI,2245.858,0.0,4287474.5
2024-06-27,881169.TI,1955.917,0.0,3821886.6
2024-06-28,881169.TI,2003.774,0.0,4211327.9
2024-07-30,881169.TI,2111.046,0.0,2719045.2
2024-07-31,881169.TI,2178.398,0.0,4529975.0
2024-08-29,881169.TI,2010.149,0.0,2317475.6
2024-08-30,881169.TI,1997.721,0.0,4516203.5
2024-09-30,881169.TI,2303.53,0.0,12095006.6
2024-10-31,881169.TI,2388.89,0.0,5365242.1
2024-11-28,881169.TI,2287.696,0.0,4836541.8
2024-11-29,881169.TI,2323.317,0.0,4981814.3
2024-12-30,881169.TI,2204.595,0.0,2629788.4
2024-12-31,881169.TI,2180.96,0.0,2999662.6
2025-02-27,881169.TI,2403.286,0.0,3688815.0
2025-02-28,881169.TI,2355.69,0.0,3331722.5
2025-03-28,881169.TI,2708.172,0.0,6131962.2
2025-03-31,881169.TI,2794.024,0.0,7643689.9
2025-04-29,881169.TI,2866.85,0.0,3635109.0
2025-04-30,881169.TI,2841.258,0.0,3408602.9
2025-05-29,881169.TI,2906.435,0.0,3023305.1
2025-05-30,881169.TI,2911.425,0.0,2292152.5
2025-06-27,881169.TI,3113.04,0.0,5131362.2
2025-06-30,881169.TI,3150.656,0.0,4607775.8
2025-07-30,881169.TI,3167.828,0.0,3820998.3
2025-07-31,881169.TI,3088.849,0.0,4714468.8
2025-08-28,881169.TI,3310.597,0.0,5686834.6
2025-08-29,881169.TI,3373.646,0.0,8082146.7
