trade_date,ts_code,name,industry,close,pct_chg,amount,turnover_ratio,fd_amount,open_times,limit_times,up_stat,float_mv,total_mv,limit,board_count,buy_lg_amount,sell_lg_amount,buy_elg_amount,sell_elg_amount,buy_sm_amount,sell_sm_amount,buy_md_amount,sell_md_amount,net_mf_amount,mf_total_buy,mf_total_sell,mf_total,lg_net,elg_net,large_net,large_net_ratio,elg_ratio,next_trade_date,trade_date_next,open,high,low,close_next,pct_chg_next,vol,premium_rate,open_premium,close_premium,next_limit_up,next_return,large_net_quintile,board_group,large_direction,open_category
2026-04-30,000007.SZ,全新好,一般零售,15.51,10.0,172590196,3.35,40572640,0,1,1/1,5373409162.44,5373409224.48,U,1,5462.42,4556.08,3102.82,1602.17,3946.3,4660.49,4747.49,6440.28,2222.44,17259.030000000002,17259.02,34518.05,906.3400000000001,1500.65,2406.9900000000002,0.0697313434565394,0.04347435617017763,2026-05-06,2026-05-06,16.41,16.41,15.2,15.97,2.9658,177639.76,0.05802707930367507,0.05802707930367507,0.02965828497743397,1,10.0,Q3,1板,大单净买入,未开板
2026-04-29,000039.SZ,中集集团,通用设备,12.43,10.0,1039464160,3.76,48618950,5,1,1/1,28606490762.63,67029029168.64,U,1,28236.58,24157.38,22490.89,11709.16,24623.51,32749.22,28595.43,35330.66,-387.08,103946.41,103946.42000000001,207892.83000000002,4079.2000000000007,10781.73,14860.93,0.07148361008890974,0.051861961761740405,2026-04-30,2026-04-30,12.52,12.6,12.05,12.39,-0.3218,745190.23,0.013676588897827831,0.007240547063555902,-0.0032180209171358927,1,10.0,Q3,1板,大单净买入,开4次+
2026-04-24,000062.SZ,深圳华强,其他电子,34.34,9.99,3731477584,10.73,32961008,11,1,2/3,35881868644.18,35916526323.52,U,2,90041.74,92194.58,143255.45,59749.11,58465.47,100248.59,81385.1,120955.48,-37289.87,373147.76,373147.76,746295.52,-2152.8399999999965,83506.34000000001,81353.50000000001,0.10900976599725537,0.11189446775722305,2026-04-27,2026-04-27,35.37,37.77,34.34,37.77,9.9884,1075114.87,0.09988351776354104,0.029994175888176877,0.09988351776354104,1,9.99,Q4,2板,大单净买入,开4次+
2026-04-30,000066.SZ,中国长城,计算机设,19.82,9.99,8321457408,13.38,542841080,0,1,1/1,63930397789.16,63935337924.16,U,1,159259.07,195194.67,442416.58,167107.18,96029.8,214827.01,134440.29,255016.88,98981.76,832145.74,832145.74,1664291.48,-35935.600000000006,275309.4,239373.80000000002,0.14382925279410794,0.16542138399939416,2026-05-06,2026-05-06,21.8,21.8,21.8,21.8,9.9899,388669.66,0.09989909182643796,0.09989909182643796,0.09989909182643796,1,9.99,Q5(净买入最多),1板,大单净买入,未开板
2026-04-29,000402.SZ,金 融 街,房地产开发,2.88,9.92,68154543,0.79,75401648,0,1,1/1,8607323367.36,8608118123.52,U,1,1802.94,1671.15,4472.55,370.14,165.4,2318.02,374.57,2456.15,-3860.16,6815.46,6815.46,13630.92,131.78999999999996,4102.41,4234.2,0.310632004296115,0.3009635446470231,2026-04-30,2026-04-30,3.11,3.17,3.02,3.17,10.0694,1225360.2,0.10069444444444446,0.0798611111111111,0.10069444444444446,1,9.92,Q5(净买入最多),1板,大单净买入,未开板
2026-04-30,000402.SZ,金 融 街,房地产开发,3.17,10.07,385229904,4.1,40558228,1,2,2/2,9474033011.99,9474907795.68,U,2,11166.45,9278.97,14002.52,9587.49,6059.52,8820.0,7294.5,10836.53,505.3,38522.990000000005,38522.99,77045.98000000001,1887.4800000000014,4415.030000000001,6302.510000000002,0.08180193178151542,0.0573038333732662,2026-05-06,2026-05-06,3.17,3.49,3.08,3.49,10.0946,2158037.08,0.10094637223974773,0.0,0.10094637223974773,1,10.07,Q3,2板,大单净买入,开1次
2026-04-24,000546.SZ,金圆股份,环境治理,7.16,9.98,1147070352,23.51,34824092,5,1,1/1,4988409274.96,5567961512.96,U,1,33330.61,27812.73,37897.89,14445.73,19259.29,37821.24,24219.24,34627.33,-27638.89,114707.03,114707.03,229414.06,5517.880000000001,23452.16,28970.04,0.12627839810689895,0.1022263413149133,2026-04-27,2026-04-27,6.94,7.5,6.94,7.24,1.1173,1576733.86,0.04748603351955305,-0.030726256983240188,0.011173184357541908,1,9.98,Q5(净买入最多),1板,大单净买入,开4次+
2026-04-29,000551.SZ,创元科技,环保设备,15.76,9.98,336723920,4.43,139076090,2,1,1/1,7636463903.52,7639392710.4,U,1,8355.33,8242.94,14157.58,2083.8,4985.29,9510.84,6174.19,13834.81,-6637.14,33672.39,33672.39000000001,67344.78,112.38999999999942,12073.779999999999,12186.169999999998,0.18095196093891758,0.17928308623177622,2026-04-30,2026-04-30,15.92,16.61,15.78,16.28,3.2995,597804.67,0.053934010152284245,0.0101522842639594,0.032994923857868105,1,9.98,Q5(净买入最多),1板,大单净买入,开2-3次
2026-04-30,000553.SZ,安道麦A,农化制品,6.82,10.0,82223195,0.55,18418862,0,1,1/1,14847630774.02,15889316203.2,U,1,2461.88,1944.72,3363.41,1791.96,1118.34,2001.87,1278.68,2483.78,-7051.46,8222.31,8222.33,16444.64,517.1600000000001,1571.4499999999998,2088.6099999999997,0.12700855719553603,0.09556001225931367,2026-05-06,2026-05-06,7.15,7.5,7.03,7.5,9.9707,541302.31,0.09970674486803514,0.048387096774193554,0.09970674486803514,1,10.0,Q5(净买入最多),1板,大单净买入,未开板
2026-04-29,000567.SZ,海德股份,多元金融,6.06,9.98,305768480,2.61,98566433,0,1,1/1,11808151387.98,11844828489.6,U,1,6940.77,8508.9,12260.64,3157.27,5058.77,8622.55,6316.67,10288.14,2564.82,30576.85,30576.859999999997,61153.70999999999,-1568.1299999999992,9103.369999999999,7535.24,0.1232180353407831,0.14886046978997677,2026-04-30,2026-04-30,6.26,6.67,6.19,6.67,10.066,1560398.9,0.10066006600660071,0.033003300330033035,0.10066006600660071,1,9.98,Q5(净买入最多),1板,大单净买入,未开板
