ts_code,trade_date,is_bull,ma_cv_10,atr_pct,vol_ratio,pct_chg,turnover_rate,total_mv,pe_ttm,pb,ret_5,ret_10,ret_20,mv_bin,pct_bin,vr_bin
000001.SZ,2020-07-02,1,0.01455138685293711,0.01962557174768643,2.491505774961971,2.3628,1.3349,26062148.13,8.8958,0.9369,0.15636634400595684,0.053611317944899595,-0.004467609828741614,大盘,2-3%,2-3
000001.SZ,2020-07-03,1,0.014329670670479189,0.020501253132832097,3.1926651518323186,6.1057,1.9419,27653433.43,9.439,0.9941,0.042807017543859516,-0.007719298245614015,-0.06385964912280706,大盘,5-7%,3-5
000001.SZ,2020-07-06,1,0.0153326313955864,0.024189139941690974,3.3975343150883774,10.0351,2.4279,30428479.73,10.3862,1.0938,-0.05038265306122447,-0.06058673469387754,-0.13329081632653061,大盘,>7%,3-5
000001.SZ,2024-05-16,1,0.016986861883443654,0.01771326256554546,1.9170528238814848,3.1394,1.5853,21676410.62,4.6332,0.5215,0.020590868397493356,-0.004476275738585556,-0.08863025962399285,大盘,3-5%,1.5-2
000001.SZ,2024-05-17,1,0.017468134006155895,0.018451338503877902,1.6987123849060437,2.2381,1.4644,22161558.58,4.7369,0.5332,-0.009632224168126036,-0.027145359019264514,-0.1155866900175132,大盘,2-3%,1.5-2
000001.SZ,2024-09-24,1,0.013795038979325986,0.016668962667034052,1.7973704700392206,3.2869,0.8442,20123937.17,4.2865,0.4885,0.2420443587270975,0.14754098360655754,0.11282545805207334,大盘,3-5%,1.5-2
000001.SZ,2024-09-26,1,0.014645731827154663,0.019987187700192203,2.8042974846256192,6.1905,1.5905,21637598.79,4.6089,0.5253,0.07443946188340811,0.0717488789237668,0.020627802690583064,大盘,5-7%,2-3
000001.SZ,2024-09-27,1,0.01602116631540228,0.022204153114836155,3.083136212842887,2.4215,1.9788,22161558.58,4.7205,0.538,0.02626970227670755,0.05429071803852881,0.0008756567425569628,大盘,2-3%,3-5
000001.SZ,2024-09-30,1,0.018683731256250523,0.024979524979525006,3.7267218946078433,6.9177,2.7983,23694626.11,5.0471,0.5752,-0.015561015561015634,-0.03276003276003281,-0.061425061425061434,大盘,5-7%,3-5
000001.SZ,2025-03-12,1,0.002506040617850714,0.01217600964436405,1.7529553548529688,2.0672,0.9674,22996013.06,4.9402,0.5531,-0.027848101265822822,-0.03966244725738388,-0.08016877637130793,大盘,2-3%,1.5-2
000001.SZ,2025-06-03,0,0.009426383048252909,0.012761582194266388,2.088164413787087,2.1626,1.1298,22918389.39,5.2478,0.5255,0.0,-0.0042337002540220325,0.041490262489415786,大盘,2-3%,2-3
000001.SZ,2025-06-26,1,0.01859496066595652,0.017382295383906985,1.783987756434995,2.9022,1.1206,24082744.48,5.5145,0.5612,-0.00483481063658342,0.06204673650282033,-0.00483481063658342,大盘,2-3%,1.5-2
000001.SZ,2025-08-25,1,0.0072324772833873745,0.013998852553069397,2.450922288566602,3.2338,1.5692,24160368.15,5.5542,0.549,-0.04497991967871473,-0.06024096385542166,-0.08594377510040152,大盘,3-5%,2-3
000001.SZ,2026-04-27,1,0.0058241449507390845,0.01305548581471254,4.038384805733548,3.4545,1.7527,22083934.9,5.1286,0.4759,-0.0008787346221442727,,,大盘,3-5%,3-5
000002.SZ,2020-06-24,1,0.00706582856588672,0.016423160173160183,1.9197609486754148,3.3268,1.4678,30670813.01,7.8641,1.5662,0.08522727272727271,0.10492424242424248,0.02386363636363642,大盘,3-5%,1.5-2
000002.SZ,2020-07-01,1,0.00714567943685655,0.020342775771754053,3.051651772154036,7.4598,2.6791,32634209.75,8.3676,1.6665,0.08223567105731577,0.006763972944108243,-0.03488786044855818,大盘,>7%,3-5
